Rank,NOC,Gold,Silver,Bronze,Total,Year
5,2,16,11,14,41,25
6,7,14,15,17,46,25
7,78,13,11,8,32,25
8,28,9,8,8,25,25
9,12,8,9,10,27,25
10,3,7,16,20,43,25
11,18,7,5,4,16,25
12,154,7,4,11,22,25
13,113,6,4,6,16,25
14,15,5,11,3,19,25
15,73,5,4,2,11,25
16,34,4,5,2,11,25
17,110,4,2,1,7,25
18,37,4,1,4,9,25
19,13,3,10,17,30,25
20,14,3,9,8,20,25
21,5,3,5,2,10,25
22,17,3,5,1,9,25
23,27,3,4,10,17,25
24,157,3,4,7,14,25
25,155,3,3,1,7,25
26,159,3,3,0,6,25
27,30,3,2,4,9,25
28,168,3,2,2,7,25
29,156,2,3,4,9,25
30,8,2,2,3,7,25
31,121,2,2,2,6,25
31,125,2,2,2,6,25
33,117,2,2,0,4,25
34,9,2,1,4,7,25
35,32,2,0,4,6,25
36,72,2,0,2,4,25
37,11,2,0,0,2,25
38,126,1,3,0,4,25
39,150,1,2,2,5,25
40,166,1,1,4,6,25
40,139,1,1,4,6,25
42,83,1,1,3,5,25
42,70,1,1,3,5,25
44,134,1,1,2,4,25
44,24,1,1,2,4,25
46,71,1,1,1,3,25
47,135,1,1,0,2,25
47,26,1,1,0,2,25
47,36,1,1,0,2,25
47,76,1,1,0,2,25
51,19,1,0,2,3,25
52,79,1,0,1,2,25
53,119,1,0,0,1,25
53,77,1,0,0,1,25
53,111,1,0,0,1,25
56,21,0,4,1,5,25
57,145,0,3,2,5,25
57,114,0,3,2,5,25
59,147,0,2,3,5,25
60,122,0,2,1,3,25
60,1,0,2,1,3,25
62,160,0,1,4,5,25
63,165,0,1,3,4,25
64,6,0,1,2,3,25
64,39,0,1,2,3,25
64,175,0,1,2,3,25
64,181,0,1,2,3,25
68,133,0,1,1,2,25
68,88,0,1,1,2,25
68,130,0,1,1,2,25
68,182,0,1,1,2,25
72,40,0,1,0,1,25
72,162,0,1,0,1,25
72,86,0,1,0,1,25
72,151,0,1,0,1,25
72,183,0,1,0,1,25
72,184,0,1,0,1,25
72,25,0,1,0,1,25
72,185,0,1,0,1,25
72,172,0,1,0,1,25
81,38,0,0,2,2,25
82,186,0,0,1,1,25
82,149,0,0,1,1,25
82,187,0,0,1,1,25
82,164,0,0,1,1,25
82,188,0,0,1,1,25
82,84,0,0,1,1,25
1,0,48,26,30,104,26
2,129,39,31,22,92,26
3,4,29,18,18,65,26
4,153,18,21,26,65,26
5,78,13,9,9,31,26
6,2,11,20,13,44,26
7,3,11,11,13,35,26
8,7,8,15,12,35,26
9,12,8,9,11,28,26
10,5,8,4,6,18,26
11,28,7,14,17,38,26
12,79,7,5,1,13,26
13,18,6,6,8,20,26
14,30,6,2,5,13,26
15,154,5,4,10,19,26
16,13,5,3,7,15,26
17,15,4,10,6,20,26
18,73,4,5,4,13,26
19,155,4,4,3,11,26
20,25,4,1,1,6,26
21,121,4,0,2,6,26
22,27,3,5,9,17,26
23,156,3,2,6,11,26
23,34,3,2,6,11,26
25,110,3,2,3,8,26
26,147,3,1,2,6,26
27,14,2,6,10,18,26
28,157,2,5,3,10,26
29,113,2,4,7,13,26
30,8,2,4,3,9,26
31,37,2,4,1,7,26
32,166,2,2,5,9,26
33,9,2,2,0,4,26
34,17,2,1,1,4,26
35,145,2,0,3,5,26
36,111,2,0,1,3,26
37,21,1,4,3,8,26
38,122,1,3,5,9,26
39,72,1,3,4,8,26
40,168,1,2,3,6,26
41,39,1,1,4,6,26
42,32,1,1,2,4,26
42,181,1,1,2,4,26
42,150,1,1,2,4,26
42,76,1,1,2,4,26
46,70,1,1,1,3,26
47,135,1,1,0,2,26
48,134,1,0,1,2,26
48,71,1,0,1,2,26
50,133,1,0,0,1,26
50,88,1,0,0,1,26
50,189,1,0,0,1,26
50,190,1,0,0,1,26
50,118,1,0,0,1,26
50,84,1,0,0,1,26
56,38,0,3,1,4,26
57,19,0,2,4,6,26
58,117,0,2,3,5,26
59,125,0,2,2,4,26
60,83,0,2,1,3,26
60,24,0,2,1,3,26
60,139,0,2,1,3,26
63,159,0,1,3,4,26
64,11,0,1,2,3,26
65,160,0,1,1,2,26
65,26,0,1,1,2,26
65,151,0,1,1,2,26
65,80,0,1,1,2,26
65,152,0,1,1,2,26
70,191,0,1,0,1,26
70,192,0,1,0,1,26
70,193,0,1,0,1,26
70,194,0,1,0,1,26
70,195,0,1,0,1,26
70,36,0,1,0,1,26
76,165,0,0,3,3,26
77,1,0,0,2,2,26
77,184,0,0,2,2,26
79,186,0,0,1,1,26
79,119,0,0,1,1,26
79,163,0,0,1,1,26
79,174,0,0,1,1,26
79,130,0,0,1,1,26
79,170,0,0,1,1,26
79,182,0,0,1,1,26
79,172,0,0,1,1,26
1,0,46,37,38,121,27
2,4,27,23,17,67,27
3,129,26,18,26,70,27
4,153,19,17,20,56,27
5,2,17,10,15,42,27
6,28,12,8,21,41,27
7,3,10,18,14,42,27
8,78,9,3,9,21,27
9,12,8,12,8,28,27
10,7,8,11,10,29,27
11,18,8,7,4,19,27
12,5,8,3,4,15,27
13,27,7,6,6,19,27
14,15,7,4,6,17,27
15,113,6,6,1,13,27
16,73,6,3,2,11,27
17,147,5,3,2,10,27
18,13,5,2,4,11,27
19,30,4,9,5,18,27
20,14,4,3,15,22,27
21,165,4,2,7,13,27
22,122,3,2,3,8,27
23,9,3,2,2,7,27
24,79,3,1,4,8,27
25,1,3,1,2,6,27
26,32,3,1,0,4,27
27,8,2,6,7,15,27
28,21,2,6,3,11,27
29,25,2,6,2,10,27
30,156,2,5,10,17,27
31,154,2,5,4,11,27
32,181,2,4,2,8,27
33,34,2,3,6,11,27
34,121,2,3,2,7,27
35,11,2,2,2,6,27
35,125,2,2,2,6,27
37,159,2,2,0,4,27
38,168,2,1,4,7,27
39,166,1,7,10,18,27
40,157,1,4,4,9,27
41,70,1,3,4,8,27
42,160,1,3,0,4,27
43,155,1,2,7,10,27
44,110,1,2,5,8,27
45,150,1,2,1,4,27
46,139,1,2,0,3,27
47,37,1,1,2,4,27
48,189,1,1,0,2,27
48,172,1,1,0,2,27
50,134,1,0,2,3,27
51,88,1,0,1,2,27
51,196,1,0,1,2,27
51,131,1,0,1,2,27
54,197,1,0,0,1,27
54,198,1,0,0,1,27
54,199,1,0,0,1,27
54,80,1,0,0,1,27
54,184,1,0,0,1,27
54,182,1,0,0,1,27
60,151,0,4,1,5,27
61,72,0,3,2,5,27
62,84,0,2,1,3,27
63,133,0,2,0,2,27
63,39,0,2,0,2,27
65,145,0,1,3,4,27
66,83,0,1,2,3,27
67,19,0,1,1,2,27
67,117,0,1,1,2,27
69,161,0,1,0,1,27
69,190,0,1,0,1,27
69,123,0,1,0,1,27
69,41,0,1,0,1,27
69,152,0,1,0,1,27
74,17,0,0,4,4,27
75,38,0,0,3,3,27
75,111,0,0,3,3,27
77,149,0,0,2,2,27
78,6,0,0,1,1,27
78,135,0,0,1,1,27
78,26,0,0,1,1,27
78,24,0,0,1,1,27
78,130,0,0,1,1,27
78,114,0,0,1,1,27
78,36,0,0,1,1,27
78,76,0,0,1,1,27
78,177,0,0,1,1,27
1,0,39,41,33,113,28
2,129,38,32,19,89,28
3,28,27,14,17,58,28
4,4,22,20,22,64,28
5,200,20,28,23,71,28
6,7,17,7,22,46,28
7,18,10,12,14,36,28
8,3,10,12,11,33,28
9,2,10,11,16,37,28
10,12,10,10,20,40,28
11,14,7,7,10,24,28
12,27,7,6,8,21,28
13,30,7,6,7,20,28
14,13,7,3,5,15,28
15,5,6,7,7,20,28
16,78,6,4,10,20,28
17,34,4,5,5,14,28
18,155,4,4,3,11,28
19,113,4,4,2,10,28
20,17,4,2,2,8,28
21,73,4,1,4,9,28
22,15,3,8,6,17,28
23,21,3,6,0,9,28
24,9,3,4,6,13,28
25,8,3,4,4,11,28
26,147,3,3,2,8,28
27,79,3,2,2,7,28
28,181,3,1,5,9,28
29,11,3,1,3,7,28
30,83,3,1,2,6,28
31,150,3,1,1,5,28
32,165,3,0,2,5,28
33,168,2,5,1,8,28
34,134,2,4,6,12,28
35,70,2,2,9,13,28
36,1,2,1,1,4,28
36,118,2,1,1,4,28
38,162,2,1,0,3,28
39,39,2,0,2,4,28
39,149,2,0,2,4,28
41,152,2,0,1,3,28
42,88,2,0,0,2,28
42,199,2,0,0,2,28
44,154,1,6,12,19,28
45,157,1,3,3,7,28
46,37,1,3,0,4,28
46,84,1,3,0,4,28
48,19,1,2,4,7,28
49,163,1,2,3,6,28
50,41,1,2,1,4,28
50,159,1,2,1,4,28
52,25,1,2,0,3,28
53,6,1,1,5,7,28
54,38,1,1,4,6,28
55,139,1,1,3,5,28
56,110,1,1,2,4,28
56,36,1,1,2,4,28
58,111,1,1,0,2,28
59,26,1,0,1,2,28
59,197,1,0,1,2,28
59,71,1,0,1,2,28
59,125,1,0,1,2,28
63,124,1,0,0,1,28
63,130,1,0,0,1,28
63,80,1,0,0,1,28
66,122,0,4,1,5,28
67,166,0,3,4,7,28
68,135,0,3,2,5,28
69,160,0,2,2,4,28
70,175,0,2,1,3,28
71,117,0,1,3,4,28
72,32,0,1,2,3,28
72,201,0,1,2,3,28
74,198,0,1,1,2,28
74,151,0,1,1,2,28
74,114,0,1,1,2,28
77,189,0,1,0,1,28
77,145,0,1,0,1,28
77,146,0,1,0,1,28
77,202,0,1,0,1,28
77,170,0,1,0,1,28
77,203,0,1,0,1,28
83,156,0,0,8,8,28
84,72,0,0,4,4,28
85,24,0,0,2,2,28
86,191,0,0,1,1,28
86,204,0,0,1,1,28
86,112,0,0,1,1,28
86,190,0,0,1,1,28
86,131,0,0,1,1,28
86,174,0,0,1,1,28
86,164,0,0,1,1,28
86,132,0,0,1,1,28
1,0,40,44,42,126,29
2,129,40,27,24,91,29
3,28,20,12,13,45,29
4,7,18,19,16,53,29
5,3,16,26,22,64,29
6,18,15,7,12,34,29
7,4,14,22,29,65,29
8,78,13,9,10,32,29
9,12,12,13,15,40,29
10,2,12,13,8,33,29
11,30,10,7,3,20,29
12,14,9,7,11,27,29
13,165,8,2,3,13,29
14,5,6,7,6,19,29
15,15,5,4,9,18,29
16,21,4,4,3,11,29
17,113,4,2,5,11,29
18,17,4,1,3,8,29
19,39,4,0,3,7,29
20,27,3,7,10,20,29
21,79,3,6,3,12,29
22,154,3,5,4,12,29
23,37,3,4,2,9,29
24,168,3,3,1,7,29
25,11,3,1,6,10,29
26,83,3,1,3,7,29
27,181,3,1,1,5,29
28,155,3,0,2,5,29
29,8,2,2,5,9,29
30,166,2,2,3,7,29
30,147,2,2,3,7,29
32,13,2,1,6,9,29
33,189,2,1,1,4,29
34,150,2,1,0,3,29
35,134,2,0,5,7,29
36,6,2,0,3,5,29
37,163,2,0,2,4,29
37,41,2,0,2,4,29
39,133,2,0,1,3,29
39,139,2,0,1,3,29
41,149,1,5,1,7,29
42,34,1,4,5,10,29
43,156,1,3,3,7,29
44,73,1,3,2,6,29
44,25,1,3,2,6,29
44,125,1,3,2,6,29
47,110,1,3,0,4,29
48,9,1,2,5,8,29
49,162,1,2,2,5,29
50,36,1,2,1,4,29
51,1,1,1,6,8,29
52,32,1,1,1,3,29
52,38,1,1,1,3,29
52,111,1,1,1,3,29
55,191,1,1,0,2,29
55,40,1,1,0,2,29
55,205,1,1,0,2,29
55,118,1,1,0,2,29
59,135,1,0,2,3,29
60,194,1,0,1,2,29
60,130,1,0,1,2,29
62,206,1,0,0,1,29
62,87,1,0,0,1,29
64,70,0,3,5,8,29
65,72,0,3,2,5,29
66,160,0,3,1,4,29
66,122,0,3,1,4,29
68,175,0,2,4,6,29
68,121,0,2,4,6,29
70,145,0,2,2,4,29
71,19,0,1,5,6,29
72,164,0,1,3,4,29
73,199,0,1,1,2,29
74,192,0,1,0,1,29
74,197,0,1,0,1,29
74,198,0,1,0,1,29
74,117,0,1,0,1,29
74,77,0,1,0,1,29
79,182,0,0,3,3,29
80,207,0,0,2,2,29
80,190,0,0,2,2,29
80,151,0,0,2,2,29
80,80,0,0,2,2,29
84,208,0,0,1,1,29
84,131,0,0,1,1,29
84,74,0,0,1,1,29
84,152,0,0,1,1,29
84,209,0,0,1,1,29
84,184,0,0,1,1,29
84,159,0,0,1,1,29
84,136,0,0,1,1,29
